::1||1490378183|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378183|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378227|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378227|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378263|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378263|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378333|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378333|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378460|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378460|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378462|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378462|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378464|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378464|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
